Date,City,Venue,Bands,Notes

2000-06-28,"Burlington, ON",Glad Tidings Church,"Always Outnumbered, The Pettit Project, x Something To Believe x, NUM ",

2000-07-21,"Oakville, ON",Jick's Basement,"The Pettit Project, Chapter One, Faster Than Eddie, Simpleton",

2000-07-25,"Oakville, ON",The Pineroom,"Mid Carson July, Blackout Terror, Blackcat #13, Farewell to Flesh",

2000-07-26,"Streetsville, ON",Kinsmen Hall,"Vent, Jerry Can, Simpleton, Cheapskate, Inside Out",

2000-08-11,"Burlington, ON",Tansley Woods,"Odis, Urynome",

2000-08-18,"Oakville, ON",The Pineroom,"Kid Gorgeous, The St. Catherines, Lucky Number Seven, The End, Jerk Circus, I Farm, River City Ransom",

2000-08-27,"Burlington, ON",Music Centre Bandshell,"Always Outnumbered, Chapter One, 3:1, Kung-Fu Rejects, Hexus, First Time Fallen, Out Of Options",Summer's Stellar Gaze Record Release Show

2000-12-27,"Oakville, ON",The Pineroom,"Allendale, Broken Star, Off The Mark, Soul Phoenix, The Next Best Thing, Engage",Billy's First Show

2001-01-05,"Burlington, ON",YMCA,"Simpleton, 30odd08, First Time Fallen, Nothing To Lose, Slappy Hour",

2001-02-16,"Burlington, ON",YMCA,"30odd08, The Axis of Interval, Hexus, Slappy Hour",

2001-02-23,"Oakville, ON",Neil Suri's Basement,"The Fullblast, Simcoe Street Mob, Allendale",

2001-05-11,"Burlington, ON",Music Centre,"The Livid, Simpleton, The Fullblast, Allendale, Always Outnumbered",Neil's First Show

2001-05-12,"Brampton, ON",Bramalea United Church,"Dilan Dog, Eva Destruction, Ten Speed Hero, The Vulcan Dub Squad",Punk Prom

2001-05-25,"Burlington, ON",Music Centre,"The Pettit Project, The Fullblast, Allendale, The Good Skamaritans, Simpleton",

2001-05-27,"Brampton, ON",Moose Lodge,"Ellington, Ten Speed Hero, Eva Destruction, 58 Skivies, Harbinger",

2001-06-01,"Oakville, ON",The Pineroom,"Maharahj, Acacia, The End, Shiloh, At The Mercy Of Inspiration ",

2001-06-30,"Waterdown, ON",The Legion,"The Pettit Project, Bayside (CAN), Jerk Circus, Ellington, Simpleton, Shift-D, The Axis Of Interval, Handheld, 11 Minutes Away, The Next Best Thing",

2001-07-14,"Burlington, ON",Music Centre Bandshell,"Lucky Number Seven, The Pettit Project, Spinecracker, Chore, Cut Off, Somehow Hollow, Simcore Street Mob, Safewayhome, Jerkbank, Off The Mark, Chapter One",

2001-07-25,"Oakville, ON",The Pineroom,"The Pettit Project, The Fullblast, Simcoe Street Mob, Allendale, The Spozedas",

2001-07-26,"Toronto, ON",The Reverb,"Jersey, Cadillac Blindside, Spinecracker, Cut Off",

2001-07-28,"Toronto, ON",The J.C.C.,"Charlie Brown Gets A Valentine, Constable Brennan, Bayside (CAN), Allendale, Pocket Fuzz",

2001-08-03,"Burlington, ON",YMCA,"Joshua, The Big Collapse, Boys Night Out, Soul Phoenix, Auryn",

2001-08-10,"Burlington, ON",Music Centre,"The Good Skamaritans, The Axis of Interval, Bikes, Westpoint, The Henchmen",

2001-08-18,"Burlington, ON",Music Centre,"Chore, Allendale, The Fullblast, 30oodd08, Slappy Hour",

2001-09-08,"Hamilton, ON",Transit Union Hall,"Bayside (CAN), The Pettit Project, Handheld, The Sneak Preview, The Thugz",

2001-10-26,"Hamilton, ON",Kick It Studios,"The Pettit Project, 30odd08, Slideshow, Pacific Radio Show, Beautiful Nothing, Gary",

2001-11-01,"Oakville, ON",The Pineroom,"Piebald, Small Brown Bike, Moneen",

2001-11-03,"Oshawa, ON",The Dungeon,Fighting Crime,Globe Skate Video Premiere

2001-11-10,"Niagara Falls, ON",Knights of Columbus,"Alexisonfire, Racecar, Torrance, Anything & Everything ",

2001-11-16,"Burlington, ON",YMCA,"Every Time I Die, Between The Buried And Me, Kid Gorgeous, Maharahj, At The Mercy Of Inspiration, Jude The Obscure, 30odd08",

2001-11-23,"Toronto, ON",Loose Rooster Bar,"Vermicious Knid, Four On The Floor, Outlet, Majority Rules ",

2001-12-01,"Kingston, ON",Club 477,"The Fullblast, The Super Fishels, All Systems Down, Seral ",

2001-12-08,"London, ON",Whippet Lounge,"Off The Mark, Second Nature ",

2001-12-15,"Guelph, ON",Ed Video Media Arts,"Safewayhome, The Fullblast, The Pettit Project, Vermicious Knid, Freeway ",

2001-12-27,"St. Catharines, ON",The Palmgrove,"The Getaway, Jude The Obscure, Racecar, Dead Can Drive ",

2002-01-19,"Niagara Falls, ON",Knights of Columbus,"Emerson, Bluerskies, Racecar, The Difference Engine, Torrance ",

2002-01-25,"Mississauga, ON",Loose Change Charlie's,"Safewayhome, The Graduation Day, 11 Minutes Away, After School Special, And Sometimes Why?, Enemigos",

2002-01-26,"Waterdown, ON",YMCA,"Searching For Chin, The Getaway, Vincent Black Shadow, Jude The Obscure",

2002-02-01,"Burlington, ON",YMCA,"Boys Night Out, Safewayhome, After School Special, Delaware ",

2002-02-16,"Guelph, ON",The Trasheteria,"Jersey, Boys Night Out, The Fullblast, Lucky Number Seven",

2002-02-22,"Oakville, ON",River Oaks Rec Centre,"Safewayhome, Bombs Over Providence, After School Special",

2002-03-08,"London, ON",The Embassy,"Off The Mark, Steadfast, Colin Sick, Hard To Say ",

2002-03-12,"Toronto, ON",The Q Bar,"Alexisonfire, Jude The Obscure, Shallow Water Blackout, Notwithstanding",

2002-03-23,"Oakville, ON",The Pineroom,"Boys Night Out, The Fullblast, Safewayhome, Vincent Black Shadow",

2002-03-24,"Hamilton, ON",The Casbah,"Always Outnumbered, Kitchens & Bathrooms, Skyline",

2002-03-29,"Burlington, ON",Music Centre,"Jersey, Ann Beretta, Cut Off, The Fullblast ",

2002-03-30,"St. Catharines, ON",The N.A.C.,"Jersey, Ann Beretta, Torrance, Failing Grade ",

2002-04-14,"Hamilton, ON",The Casbah,"Grade, Kitchens & Bathrooms",

2002-04-26,"Oakville, ON",The Pineroom,"The Fullblast, Not By Choice, Tuuli",When The Shadows Beam Record Release Show

2002-05-04,"Ottawa, ON",Club S.A.W.,Arcade Fire,

2002-05-05,"Levis, QC",Le Melting Pot,,

2002-05-07,"Fredericton, NB",The G-Club,Safewayhome ,

2002-05-08,"Bedford, NS",Dan Sease's Basement,"Safewayhome, Three Fine Days, Left at the Lights",

2002-05-09,"Halifax, NS",The Pavillion,Safewayhome ,

2002-05-10,"Moncton, NB",Foresters Hall,Safewayhome,

2002-05-11,"Quebec, QC",L'Anti,"Between the Buried and Me, Undying, Bloodjin",EXO Fest

2002-05-12,"Sherbrooke, QC",114 Wellington,Safewayhome,

2002-05-18,"London, ON",Call The Office,Safewayhome,

2002-05-25,"Hamilton, ON",Transit Union Hall,"11 Minutes Away, Sub City Adventures, No Word Of A Lie, The Astroboys, Gleet",

2002-06-14,"Oakville, ON",The Pineroom,"The End, The Fullblast, Vincent Black Shadow, The Pettit Project, Abaddon ",

2002-06-26,"Toronto, ON",Lee's Palace,"Fefe Dobson, 11:11",

2002-07-07,"Oakville, ON",The Pineroom,"The Fullblast, Boys Night Out, Choke, Fordirelifesake, The Abandoned Hearts Club, Filmmaker, Two Days, Grayson, Before I Go",

2002-07-12,"Oshawa, ON",The Dungeon,"T.O.E., Summer Hero, One Down, Protest The Hero, Frunt Row Centre ",

2002-07-20,"Toronto, ON",The Rivoli,"Onelinedrawing, Soul Phoenix, Wheels on the Bus",

2002-07-27,"Burlington, ON",Music Centre Bandshell,"Alexisonfire, The Getaway, The Millenium Project, Motion 12, The Next Best Thing, The Pylons, Safe Way Home, The Explanation, Beaumont, Dilan Dog, Fortune's Fool, Run Chico Run",

2002-08-07,"Ottawa, ON",Club S.A.W.,"The Red Light Sting, Femme Fetale, Van Johnson",

2002-08-09,"Trois Rivieres, QC",Centre Jacques Gauthier,"Gingerbread, Exterio, Stay True, Quickstart, Close Down",

2002-08-10,"St. Georges, QC",Salle Paroissiale De L'Ouest,"A Death For Every Sin, A Perfect Murder, As They Fall, Bright Night Star, Drown In Tears, Forsaken Trust, From Life To Death, Hand Of Death, Heavyness Of Raining Days, Hopeless Nation, Hymn From Above, Makyo, Mi Amore, Seven Sins, The Bonds, Tears From The Sky, Until My Last Breath, Within Your Eyes",Havoc Fest

2002-08-20,"Toronto, ON",The Reverb,"Outspan, Ruins, The Explanation, The Imports, The Pylons",

2002-08-24,"Brampton, ON",Bramalea United Church,"Alexisonfire, Wheels On The Bus, Katja, In Silent Code ",

2002-08-29,"Uxbridge, ON",A Barn,"Alexisonfire, Good Excuse",

2002-09-05,"Guelph, ON",The Trasheteria,"Moneen, Boys Night Out, Kitchens & Bathrooms, The Dupes, Might As Well",

2002-09-06,"Toronto, ON",The Reverb,"Jersey, Somehow Hollow, The Getaway",Victory Records Showcase

2002-09-14,"Toronto, ON",The Kathedral,"SUBB, Fifty Nuts, Cheap Suits ",

2002-11-02,"Oshawa, ON",The Dungeon,"Chuck Calibre, One Down, I Hate Sally, The Illuminati ",

2002-11-03,"Guelph, ON",The Trasheteria,"Curious Ryan, Safewayhome, Plead The Fifth, Form 14",

2002-11-15,"Burlington, ON",YMCA,"Alexisonfire, The Fullblast, Explode The Airwaves, Seething ",

2002-11-21,"Hamilton, ON",The Underground,"Racebannon, Helen of Troy, Louis Mistreated, Masters and Moderns",

2002-11-22,"Trois Rivieres, QC",Rock Cafe,"Buried Inside, Hymn From Above, Observing The Falling Tree, Anger Until Tomorrow ",

2002-11-23,"Quebec, QC",L'Anti,"Unearth, In Dying Days, A Death For Every Sin, A Perfect Murder, The Separation Suicide, Cursed, Buried Inside, The Bonds, Human Breed, The Fallout Project, Oversight ",

2002-12-13,"Toronto, ON",The Kathedral,"The Movielife, Christiansen, Vendetta Red",

2002-12-21,"Burlington, ON",Music Centre,"Boys Night Out, The Fullblast, The Pettit Project",

2002-12-26,"Toronto, ON",Lee's Palace,"The Postage Stamps, Seconds To Go",

2002-12-28,"Oshawa, ON",The Dungeon,"Not By Choice, Les Marmottes Aplaties, Summer Hero",

2002-12-28,"Oshawa, ON",Atria,,

2003-01-03,"Orillia, ON",Odd Fellows Hall,"The Fullblast, P.A.B, Rimtrik ",

2003-01-31,"Collingwood, ON",The Legion,"Each on Set, The Midway State, The Hang Ups",

2003-02-02,"Hamilton, ON",The Underground,"The Getaway, Stillwell, Kitchens & Bathrooms, Skyline ",

2003-02-14,"London, ON",Call The Office,"Seconds To Go, Out of Options, Look What You Did ",

2003-02-15,"Toronto, ON",The Kathedral,"The Getaway, Boys Night Out, Closet Monster, The Explanation ",

2003-02-21,"Barrie, ON",The Last Class,"Cheerleader, The Syndicate, Craft Union ",

2003-02-22,"Ottawa, ON",Manotick Hall,"Before I Go, Uninspired Empire, Springfield ",

2003-02-23,"Montreal, QC",Balafre,"The Fullblast, The Awards",

2003-02-27,"Kitchener, ON",Registry Theatre,"The Cheap Suits, Room Without a View ",

2003-02-28,"Sarnia, ON",St. Francis Xavier High School,"The Reason Why, Heathen Ruckus, STD ",

2003-03-23,"Guelph, ON",The Trasheteria,"Handheld, Childproof, Unit 404, Jettison Idol",

2003-04-05,"Barrie, ON",Odd Fellows Hall,"The Graduation Day, P.A.B. ",

2003-04-10,"Toronto, ON",The Opera House,"The Dillinger Escape Plan, Every Time I Die",

2003-04-18,"Streetsville, ON",Masonic Lodge,"Rockets Red Glare, Bombs Over Providence, The Junction, The Make Out ",

2003-04-26,"Caledon, ON",Caledon East Complex,"Found.Missing, I Spoke, Unit 404, An Easy Way Out, Four Car Crash",

2003-04-28,"London, ON",Call The Office,"Choke, Self Made Man",

2003-04-30,"Chicago, IL",Fireside Bowl,Preacher Gone To Texas,

2003-05-01,"Grand Rapids, MI",Skelletones,,

2003-05-02,"Burlington, IA",Port of Burlington,Faultlines,

2003-05-04,"St. Louis, MO",Creepy Crawl,Staring Back,

2003-05-05,"Columbus, OH",Bernies,Bayside,

2003-05-07,"Iowa City, IA",Gabe's Oasis,Shiver,

2003-05-08,"Warrensburg, MO",The Setlist,"Narcissist, House of Heros",

2003-05-09,"Omaha, NE",The Rock,"Narcissist, House of Heros",

2003-05-10,"Farmington, MO",Bob-A-Rino's Pizza,"Narcissist, House of Heros",

2003-05-11,"Little Rock, AR",Vino's,Narcissist,

2003-05-12,"Fort Smith, AR",The Gate,Narcissist,

2003-05-14,"Akron, OH",The Lime Spider,Narcissist,

2003-05-15,"Sidney, OH",Magnum Music Center,,

2003-05-16,"Dayton, OH",Gathering Grounds,Narcissist,

2003-05-17,"Windsor, ON",Gino A. Marcus Centre,Fordirelifesake,

2003-05-31,"Burlington, ON",Music Centre,"Alexisonfire, The Fullblast, The Turn It Ups",When Broken Is Easily Fixed Record Release Show

2003-06-01,"Binghampton, NY",American Legion Hall,Freya,

2003-06-03,"Sterling, VA",Sterling Community Center,,

2003-06-04,"Baltimore, MD",The Depot,,

2003-06-05,"Virginia Beach, VA",Hoopla's Bar & Grill,,

2003-06-06,"Hagerstown, MD",Leitersburg Grange Hall,,

2003-06-07,"Montclair, NJ",Bloomfield Avenue Cafe,,

2003-06-07,"Garfield, NJ",American Legion Post,,

2003-06-08,"Deer Park, NY",Local 7,,

2003-06-12,"Ottawa, ON",Club S.A.W.,Somehow Hollow,

2003-06-13,"Renfrew, ON",Renfrew Rec Centre,Somehow Hollow,

2003-06-14,"Montreal, QC",Salle L'X,Somehow Hollow,

2003-06-15,"Quebec, QC",L'Anti,Somehow Hollow,

2003-06-17,"Charlottetown, PEI",Boys & Girls Club,"Somehow Hollow, Bombs Over Providence, Dreams Among Stars",

2003-06-18,"Fredericton, NB",Bugaboo Creek,Somehow Hollow,

2003-06-19,"St. John, NB",D'Aroy Farrow's,Somehow Hollow,

2003-06-20,"Halifax, NS",Ceilldh Connection,Somehow Hollow,

2003-06-20,"Halifax, NS",The Marquee,"Somehow Hollow, Bucket Truck",

2003-06-21,"Sydney, NS",Steelworkers Hall,"Somehow Hollow, 52 Minutes",

2003-06-22,"Sussex, NB",Jubilee Hall,Somehow Hollow,

2003-07-01,"St. Catharines, ON",The Hideaway,Q and Not U,

2003-07-12,"Cincinnati, OH",The Buzz,,

2003-07-13,"Northville, MI",American Legion Hall,Half The Battle,

2003-07-14,"Cleveland, OH",Pirate's Cove,,

2003-07-16,"Farmington, MO",Bob-A-Rino's Pizza,Dead Poetic,

